iter	Logloss
0	0.6111225235
1	0.5468335017
2	0.4946556823
3	0.4556018138
4	0.4248429107
5	0.4014002503
6	0.3825051061
7	0.3674227873
8	0.3547736243
9	0.3448333811
10	0.3362320875
11	0.3291520598
12	0.3235990837
13	0.3193770231
14	0.3152782108
15	0.3120353642
16	0.3091646138
17	0.3065500066
18	0.304285374
19	0.3023281621
20	0.3005306916
21	0.2989397743
22	0.2974142195
23	0.2959989061
24	0.2946888577
25	0.2934500237
26	0.292235131
27	0.2910594545
28	0.2899948544
29	0.2889412383
30	0.2878930765
31	0.2869435435
32	0.2860039008
33	0.2850667758
34	0.2841043065
35	0.2833078501
36	0.2825056769
37	0.2817337452
38	0.2809006397
39	0.2802188244
40	0.2795118774
41	0.2787144923
42	0.277990907
43	0.277268899
44	0.2765766565
45	0.275903026
46	0.2752830703
47	0.2746234796
48	0.2740404037
49	0.2733899269
50	0.2726412756
51	0.272005973
52	0.271384155
53	0.2707238761
54	0.270088776
55	0.2694602222
56	0.2688173818
57	0.2682160162
58	0.2676010849
59	0.2670028828
60	0.2664042508
61	0.2657920706
62	0.2652817032
63	0.2647263745
64	0.2641618272
65	0.2636145835
66	0.2630825488
67	0.2625389438
68	0.262032097
69	0.261543379
70	0.2610341077
71	0.2604614822
72	0.2599161441
73	0.2594349797
74	0.2589316714
75	0.2584577943
76	0.2579953969
77	0.2574687089
78	0.2569853222
79	0.256512158
80	0.2560979877
81	0.2556404729
82	0.2552193222
83	0.2548173827
84	0.2543705669
85	0.2539457855
86	0.2535323949
87	0.2531019785
88	0.2527111772
89	0.2522985927
90	0.2519223927
91	0.2515188108
92	0.2511275794
93	0.250715232
94	0.2502806529
95	0.2499544615
96	0.2495471187
97	0.2491532967
98	0.2487708708
99	0.2484303405
100	0.2480466458
101	0.2476886915
102	0.2473123318
103	0.2469528443
104	0.2466064535
105	0.2462797927
106	0.2459704322
107	0.2455927595
108	0.245229192
109	0.2449066587
110	0.2446173042
111	0.244307497
112	0.2439444576
113	0.2436885426
114	0.2433823145
115	0.2430905991
116	0.2427996546
117	0.2425112833
118	0.2421899334
119	0.2418679537
120	0.2415401885
121	0.2412210909
122	0.2408930224
123	0.2406033005
124	0.2402876814
125	0.2399998807
126	0.2396994488
127	0.2393629978
128	0.2390844476
129	0.2387759706
130	0.2384583077
131	0.2381655245
132	0.2378774487
133	0.2376280008
134	0.2373744105
135	0.2371218261
136	0.2368327394
137	0.236523071
138	0.2362811735
139	0.2360018894
140	0.2357607491
141	0.2354927054
142	0.2352360102
143	0.2349890204
144	0.2347059776
145	0.2344400546
146	0.2341765587
147	0.2339540914
148	0.233721212
149	0.2334342525
150	0.2331987645
151	0.232931992
152	0.2327150314
153	0.2324657282
154	0.2321988539
155	0.2319420832
156	0.2317086496
157	0.2314514183
158	0.2312330294
159	0.2309884955
160	0.2307378529
161	0.2305160296
162	0.2302744641
163	0.230033788
164	0.2297868397
165	0.2295568814
166	0.2292961175
167	0.2290892376
168	0.2288364375
169	0.2286319198
170	0.2284317469
171	0.2282194019
172	0.2279761719
173	0.2277636401
174	0.2275685606
175	0.2273641864
176	0.2271691831
177	0.2269384665
178	0.2267016638
179	0.2264872965
180	0.2262972588
181	0.2260664279
182	0.2258593327
183	0.2256779629
184	0.2254878987
185	0.2252665093
186	0.2250591146
187	0.2248891092
188	0.2246886679
189	0.224512298
190	0.2243375222
191	0.2241233342
192	0.223915677
193	0.2237282781
194	0.2235566185
195	0.2233636384
196	0.2231504107
197	0.222968048
198	0.2227982454
199	0.2225835615
200	0.2224111222
201	0.2222377331
202	0.2220700684
203	0.2218544496
204	0.2216876798
205	0.2215247674
206	0.2213239834
207	0.2211477845
208	0.2209707938
209	0.220766738
210	0.2205867469
211	0.2203843342
212	0.2202296312
213	0.2200523309
214	0.2199010207
215	0.2197282888
216	0.2195300806
217	0.2193523278
218	0.2192064969
219	0.2190181521
220	0.2188243643
221	0.2186369753
222	0.2184697959
223	0.2183314165
224	0.2181554394
225	0.2179948369
226	0.2178035758
227	0.2176303453
228	0.2174638221
229	0.2173286386
230	0.217172055
231	0.2170067321
232	0.2168406655
233	0.2166954901
234	0.2165252744
235	0.2163424082
236	0.2162032054
237	0.2160370392
238	0.2159069456
239	0.2157231927
240	0.2155725818
241	0.2154145653
242	0.2152629818
243	0.215097536
244	0.2149432799
245	0.2148082757
246	0.2146571205
247	0.2145038697
248	0.2143687554
249	0.2142255945
250	0.2140888956
251	0.2139417201
252	0.2137971009
253	0.2136463164
254	0.2135088384
255	0.2133771449
256	0.213240949
257	0.2131153592
258	0.2129849983
259	0.2128698791
260	0.2127326475
261	0.2125908819
262	0.2124390631
263	0.2123010688
264	0.2121606057
265	0.2120298509
266	0.2118689228
267	0.2117419934
268	0.2116220344
269	0.2114872
270	0.2113471303
271	0.2112486773
272	0.2110887995
273	0.2109595465
274	0.2108408224
275	0.2106950001
276	0.2105704888
277	0.2104339953
278	0.2102874118
279	0.2101410831
280	0.2099971342
281	0.2098610705
282	0.2097468391
283	0.2096046986
284	0.2094609597
285	0.2093383121
286	0.2092423195
287	0.2091071678
288	0.2089782582
289	0.2088462424
290	0.2087200055
291	0.2086193006
292	0.2084900208
293	0.2083419017
294	0.2082137684
295	0.2081071508
296	0.2079702802
297	0.207833556
298	0.20770079
299	0.2075919236
300	0.2074658727
301	0.2073411512
302	0.2071901529
303	0.2070712526
304	0.2069508847
305	0.2068310948
306	0.2067241624
307	0.2066009625
308	0.2064972766
309	0.2063814718
310	0.206285526
311	0.2061694274
312	0.2060382005
313	0.2059155039
314	0.2058009001
315	0.2056904882
316	0.2055682399
317	0.2054525971
318	0.2053407643
319	0.2052275131
320	0.2051065558
321	0.2050199622
322	0.2049255873
323	0.2048290063
324	0.2047286469
325	0.2046226673
326	0.2044962751
327	0.2043872062
328	0.2042721378
329	0.204160061
330	0.2040503814
331	0.2039207293
332	0.2037902011
333	0.2036861528
334	0.2035769123
335	0.2034557969
336	0.2033480744
337	0.2032562713
338	0.2031110698
339	0.203001633
340	0.2028859812
341	0.2028032981
342	0.2026846978
343	0.2025788046
344	0.2024748653
345	0.2023816206
346	0.2022827717
347	0.2022083395
348	0.2020932561
349	0.2019994423
350	0.2018974475
351	0.2017755202
352	0.2016707257
353	0.2015842036
354	0.2014919439
355	0.2014114149
356	0.2013014988
357	0.2011983812
358	0.201106839
359	0.2010196079
360	0.2009099831
361	0.2008075919
362	0.2007049176
363	0.2006007988
364	0.2005195215
365	0.2004194399
366	0.2003167856
367	0.2002268283
368	0.2001388145
369	0.2000369862
370	0.199930872
371	0.1998537613
372	0.1997694362
373	0.1996538049
374	0.1995752756
375	0.1994835755
376	0.1994021376
377	0.199304706
378	0.199198145
379	0.1991202304
380	0.1990384194
381	0.1989410739
382	0.1988439038
383	0.1987382433
384	0.1986463463
385	0.1985450894
386	0.1984550798
387	0.1983621585
388	0.1982523671
389	0.1981548476
390	0.198073264
391	0.1980030368
392	0.1979287358
393	0.1978449465
394	0.1977566981
395	0.1976668881
396	0.1975715161
397	0.1974978619
398	0.1974225428
399	0.1973254379
400	0.197259413
401	0.197170557
402	0.1970750726
403	0.1969902494
404	0.196922222
405	0.1968622835
406	0.1967742951
407	0.1967152911
408	0.1966325395
409	0.1965306944
410	0.1964406781
411	0.196359093
412	0.1962775498
413	0.1961913252
414	0.1961108744
415	0.1960260051
416	0.1959569976
417	0.1958853
418	0.1957657287
419	0.1956760291
420	0.1955879972
421	0.195505694
422	0.1954300176
423	0.1953619315
424	0.1952529249
425	0.1951709272
426	0.1950855371
427	0.1949959749
428	0.1949166716
429	0.1948351469
430	0.1947447982
431	0.1946591795
432	0.1945703951
433	0.1945030824
434	0.1944077431
435	0.1943038452
436	0.1942145128
437	0.1941193889
438	0.1940344795
439	0.1939748955
440	0.1939088777
441	0.1938275693
442	0.1937311986
443	0.1936516913
444	0.1935777947
445	0.1934853931
446	0.1934317823
447	0.1933657181
448	0.1932875545
449	0.1932113103
450	0.1931333659
451	0.1930511034
452	0.1929780629
453	0.1928877509
454	0.1928264135
455	0.1927633751
456	0.1926757222
457	0.1926054887
458	0.1925236504
459	0.1924437533
460	0.1923652358
461	0.1922946845
462	0.1922158537
463	0.1921372225
464	0.1920674196
465	0.1919937356
466	0.1919022613
467	0.1918190765
468	0.1917315244
469	0.1916653565
470	0.1915877704
471	0.1915125324
472	0.191439421
473	0.1913554308
474	0.1912886833
475	0.1912388578
476	0.1911356415
477	0.1910733152
478	0.1909907678
479	0.1909358837
480	0.1908810319
481	0.1908009565
482	0.1907297931
483	0.1906728995
484	0.1906064485
485	0.1905245224
486	0.1904471668
487	0.190382773
488	0.1903103357
489	0.1902421806
490	0.1901669797
491	0.1900831634
492	0.1899888769
493	0.189933272
494	0.1898600985
495	0.1898085732
496	0.1897669521
497	0.1896891321
498	0.1896149618
499	0.1895630187
500	0.1895053605
501	0.1894328636
502	0.1893407284
503	0.1892959065
504	0.1892206413
505	0.1891732297
506	0.1891142503
507	0.1890249663
508	0.1889536171
509	0.1888981673
510	0.1888300348
511	0.1887714376
512	0.1886863084
513	0.1886216302
514	0.1885695252
515	0.188503088
516	0.1884463598
517	0.1883837411
518	0.1883110408
519	0.1882413614
520	0.1881763308
521	0.1881254125
522	0.1880708944
523	0.1880043961
524	0.1879468664
525	0.1878827537
526	0.1878066962
527	0.1877385808
528	0.1876929347
529	0.187620706
530	0.1875660789
531	0.1874889003
532	0.1874589164
533	0.1874015592
534	0.1873216435
535	0.1872520005
536	0.1871985393
537	0.187120898
538	0.187063097
539	0.1870033699
540	0.1869336289
541	0.1868455567
542	0.1868100677
