iter	Passed	Remaining
399	44371	177484
400	44473	177338
401	44588	177244
402	44711	177182
403	44819	177061
404	44929	176943
405	45035	176814
406	45146	176705
407	45244	176543
408	45352	176421
409	45462	176305
410	45578	176216
411	45702	176153
412	45810	176030
413	45920	175917
414	46023	175776
415	46142	175697
416	46244	175551
417	46366	175482
418	46486	175406
419	46602	175313
420	46718	175221
421	46830	175116
422	46938	174991
423	47043	174858
424	47156	174757
425	47258	174611
426	47370	174503
427	47492	174435
428	47606	174334
429	47712	174207
430	47835	174138
431	47952	174050
432	48063	173937
433	48173	173825
434	48292	173740
435	48412	173662
436	48528	173570
437	48646	173482
438	48749	173342
439	48848	173191
440	48955	173064
441	49072	172975
442	49190	172889
443	49303	172783
444	49415	172676
445	49533	172590
446	49642	172470
447	49750	172348
448	49854	172215
449	49971	172123
450	50087	172031
451	50204	171939
452	50310	171812
453	50421	171701
454	50533	171592
455	50637	171457
456	50755	171368
457	50858	171231
458	50969	171120
459	51073	170983
460	51186	170879
461	51315	170829
462	51439	170762
463	51556	170671
464	51670	170567
465	51774	170434
466	51893	170348
467	52016	170274
468	52137	170197
469	52251	170096
470	52365	169992
471	52475	169877
472	52589	169777
473	52718	169723
474	52838	169638
475	52955	169546
476	53085	169495
477	53200	169396
478	53335	169360
479	53458	169286
480	53580	169208
481	53707	169145
482	53830	169069
483	53935	168937
484	54052	168842
485	54172	168761
486	54290	168667
487	54410	168584
488	54532	168503
489	54656	168429
490	54779	168354
491	54917	168323
492	55052	168284
493	55183	168232
494	55302	168141
495	55408	168011
496	55516	167889
497	55632	167789
498	55770	167757
499	55881	167643
500	55995	167539
501	56111	167440
502	56228	167345
503	56342	167239
504	56469	167171
505	56580	167057
506	56692	166947
507	56806	166842
508	56922	166741
509	57035	166631
510	57155	166546
511	57283	166479
512	57399	166380
513	57511	166267
514	57628	166171
515	57747	166080
516	57850	165943
517	57956	165814
518	58086	165752
519	58215	165691
520	58328	165580
521	58431	165443
522	58536	165312
523	58656	165223
524	58779	165142
525	58889	165025
526	59001	164914
527	59114	164803
528	59211	164649
529	59331	164559
530	59446	164458
531	59566	164368
532	59669	164230
533	59785	164130
534	59896	164015
535	60013	163917
536	60126	163809
537	60238	163695
538	60348	163578
539	60466	163482
540	60578	163372
541	60687	163251
542	60793	163124
543	60909	163022
544	61017	162900
545	61131	162794
546	61232	162653
547	61357	162576
548	61474	162476
549	61581	162352
550	61698	162251
551	61801	162116
552	61908	161993
553	62012	161858
554	62127	161755
555	62245	161658
556	62352	161533
557	62463	161419
558	62579	161318
559	62685	161191
